N,Methods2,Language,Run on first try?,Run eventually?,README,Code issue,Data issue,Repo,Published where?,Publication date,AER report,Exemplary?,DAS
1,AI/ML,R,No,Yes,No,"Incomplete, Function error",NA,Zenodo,JAS,24-May,Y,,N
2,AI/ML,Python,No,No,No,"Dependencies, Path",NA,OSF,JAS,24-Oct,N,,N
3,"3D, LIDAR",MATLAB,No,No,No,Proprietary software,NA,"GitHub, Google Drive",npj heritage science ,24-Aug,NA,,N
4,GMM,R,Yes,NA,No,NA,NA,University repository,JAS,24-Sep,N (but should),,N
5,MCMC,R,No,Yes,Yes,Function error,NA,Zenodo,JAS,24-May,N (but should),,N
6,MCMC,R,No,No,No,Dependencies,NA,Zenodo,JAS,24-Nov,N,,N
7,GMM,R,No,Yes,Yes,Incomplete,NA,Zenodo,JAS,24-Nov,Y,,N
8,Composition,R,No,Yes,No,"Incomplete, Path",Incomplete,Figshare,JAS,24-Aug,N,,N
9,Frequentist ,R,Yes,NA,Yes,NA,NA,OSF,NA,NA,NA,,N
10,Phylogenetics,"R, BEAST2",Yes,NA,Yes,NA,Incomplete,GitHub ,NA,NA,NA,,N
11,"MCMC, GMM, AI/ML","R, Python",No,No,Yes,"Function error, Dependencies",Incomplete,GitHub,NA,NA,NA,,N
12,AI/ML,Python,No,No,Yes,Dependencies,Incomplete,GitHub,NA,NA,NA,,N
13,Network,R,No,Yes,Yes,Incomplete,Incomplete,Zenodo,JAS,24-Oct,Y,https://github.com/kbvernon/community-centers,Y
14,Frequentist ,R,No,Yes,No,"Incomplete, Path",Incomplete,Supplement,JAS,24-Oct,N (but should),,N
15,Frequentist ,R,No,No,Yes,"Incomplete, Path",Incomplete,ProteomeXchange ,NA,NA,NA,,N
16,MCMC,Python,No,No,Yes,Dependencies,Incomplete,GitHub,NA,NA,NA,,N
17,Network,R,No,No,Yes,Incomplete,Incomplete,Zenodo,NA,NA,NA,,N
18,"3D, GMM",Python,No,No,Yes,Dependencies,Incomplete,Zenodo,NA,NA,NA,,N
19,NA,MATLAB,No,No,No,Proprietary software,NA,GitHub,JAS,25-Jan,NA,,N
20,GIS,R,Yes,NA,Yes,NA,NA,Zenodo,JAS,25-Jan,Y,https://github.com/kafetzakid/ancient_routes_paper/tree/v1.0.0,Y
21,"3D, GMM, AI/ML",Python,No,No,Yes,Dependencies,Incomplete,"Supplement, GitHub",NA,NA,NA,,N
22,Frequentist ,R,No,No,Yes,Incomplete,Incomplete,GitHub,NA,NA,NA,,N
23,Frequentist ,R,No,No,No,Incomplete,Incomplete,NA,NA,NA,NA,,N
24,Network,Python,No,No,No,Incomplete,Incomplete,NA,NA,NA,NA,,N
25,GIS,R,No,No,Yes,NA,Incomplete,Zenodo,NA,NA,NA,,Y